,episode_idx,round,topic,message,response,knowledge,gold
0,0,3,Gardening,"Wow, it sounds amazing, the Micro-pigs are so cute! are they trainable to be well behaved?","i ' m not sure , but they ' ve been around for thousands of years . they ' re very important for their ability to detect them .","In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",yes they are. they are extremely smart. most people buy them for inside pets. you can train the to use a litter box just like a cat. When families started using vines and trees to build their houses out of there was several species of trees and vines that were eliminated by them.
1,1,2,Bob Ross,yes I like to watch that some times,he was born on pbs and aired on pbs in 1994 .,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",The show aired from 1983 to 1994 on PBS.
2,5,0,Asthma,Hello! I heard you knew a lot about asthma. I have asthma and I'd like to know more about it.,"yes , it is a viral disease of the lungs .",Asthma is a common long-term inflammatory disease of the airways of the lungs.,I am sorry you have the long-term inflammatory disease of the airways of the lungs.
3,5,1,Asthma,Yeah it's not great. What else can you tell me?,"i ' m not sure , but it is characterized by excessive bleeding and vomiting .","It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.","Do you have symptoms like reversible airflow obstruction, and bronchospasm."
4,7,2,Live action role-playing game,Really? Wow! Where are they popular overseas?,"i ' m not sure , but i do know that the rules are governed by rugby federation .",Event arrangers called gamemasters decide the setting and rules to be used and facilitate play.,"Canada, Finaland, Germany to name a few! They're arranged by gamemasters who decide on the rules"
5,8,2,Classical music,I'm native American and I don't consider it classical at all. Give me a drug circle that's classical.,i agree . it ' s a form of cultural activity that has evolved over time .,Music is an art form and cultural activity whose medium is sound organized in time.,Well music is an art form and not everyone has the same taste and that is perfectly fine.  If we did the world would be a boring place.
6,9,0,Penguin Random House,Penguin Random House seems like it has been around for awhile.,that ' s awesome ! i ' ve never heard of it . it ' s been around since 1979 .,"It was formed on July 1, 2013, after completing a £2.4 billion merger between Bertelsmann and Pearson.","I think it was founded in 2013, sometime in the summer."
7,11,3,The Story So Far (band),That's something I didn't know. Neat. Thanks for teaching me more about pop punk.,"that is true , punk music emerged in the early 1980 ' s .","The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.","Also,2000s saw the creation or emergence of a few styles, such as indie-related genres"
8,14,0,Rush (band),I once seen the band Rush in concert. it was awesome! Do you listen to them?,"yes , they are a great band . they were formed in 2006 .","Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).","That's really cool, I don't listen to them but I know a bit about them. They're a Canadian rock band. They have Geddy lee on it, Alex Lifeson and Neil Peart."
9,14,3,Rush (band),"Yes definitely! That's what I love about them. So engaging, so thought provoking. Would you like to see them in concert?","i ' m not sure , but i do know they are an american rock band .","Rush was a Canadian rock band composed of Geddy Lee (bass, vocals, keyboards), Alex Lifeson (guitars) and Neil Peart (drums, percussion, lyrics).","I'd love to see their concert! I'd want to see Geddy lee and hear his awesome vocal, and Alex Lifeson on guitar! I mean, wow that'd be cool. Neil is so good on drums too, that'd be pleasure to hear live."
10,16,3,Red hair,"Sounds like a pretty women! like nicole kidman, another rehead hahaha, now i love my hair.","i ' m not sure , but i do know they have a strong personality clash .",Cultural reactions have varied from ridicule to admiration; many common stereotypes exist regarding redheads and they are often portrayed as fiery-tempered.,you should!  I know there are stereotypes about fiery-tempers going with it but I'm not sure it's true
11,22,2,Bagel,I really like cream cheese but also sometimes peanut butter on my bagels.,peanut butter is the most popular item in the united states .,Peanut butter is popular in many countries.,Ahh yes peanut butter is popular in many countries! Do you prefer chunky or smooth?
12,31,1,Top Chef,"And there's usually a required ingredient, which is something insane like beer or lemons or something. Why are these shows so popular?","i ' m not sure , but it ' s been around since 2005 .","Another show, ""Top Chef Junior"", featuring contestants in their early teens, premiered in October 2017 on Universal Kids.","People just like food shows, Top Chef actually got so popular that they made another show called ""Top Chef Junior"", It features ypung contestants in their early teens, It was premiered in October 2017 on Universal Kids."
13,36,3,Yoga,"Yeah, they are all very spiritual people in that part of the world. I would love to visit there one day.",yoga gurus introduced yoga to india in the late 19th century .,"Yoga gurus from India later introduced yoga to the West, following the success of Swami Vivekananda in the late 19th and early 20th century.",It's a wonderful part of the world. It was actually yoga gurus from India who brought yoga to the West.
14,41,2,The New York Times,"Nice, It has been very successful, who owns NYT?",i ' m not sure but it ' s the 8th most popular newspaper in the us .,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",I'm not sure but is has the largest combined print and digital circulation.
