,episode_idx,round,topic,message,response,knowledge,gold
0,0,0,Gardening,"I like Gardening, even when I've only been doing it for a short time.",i love gardening as well . it is considered to be relaxing .,Gardening is considered by many people to be a relaxing activity.,"I live on a farm, we garden all year long, it is very relaxing."
1,1,2,Bob Ross,yes I like to watch that some times,"it aired in the us , canada and latin america","He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",The show aired from 1983 to 1994 on PBS.
2,4,1,Finance,Yes that's exactly the area of interest for me.,"well , there are three categories of finance : public , corporate , and personal .","Finance can be broken into three sub-categories: public finance, corporate finance and personal finance.","Great! There are three categories. The public, corporate and personal finance. Do you have a preference of which area you might like best?"
3,9,2,Penguin Random House,Okay that makes sense. I have heard of them separately then.,they also employ more than 10000 people worldwide .,"Penguin Random House employs more than 10,000 people globally.","Yeah they may have formed in America, but they employ people from across the globe through publishing, and the digital book trade."
4,13,0,Tennis,i love to play tennis,tennis is such a fun racket sport . do you play singles or doubles ?,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles).,Same! Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams
5,16,0,Red hair,"Hello my friend! i had a tough time growing up, im a redhead! bu tnow its getting better!",red hair only occurs in 1 - 2 percent of the population .,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,I love red hair!  In fact I just dyed mine a shade of red!  I heard that red hair occurs naturally in only 1 to 2 % of the human population
6,19,1,Donald Trump,"I tried to give him the benefit of the doubt when he was elected. Hate is a strong word. I do not support a lot of the decisions he's made while in office, though. But maybe you can give me a balanced view. What do you know about him?","i know a lot about him . he was born in queens , new york . he grew up there .",Trump was born and grew up in the New York City borough of Queens and earned an economics degree from the Wharton School of the University of Pennsylvania.,"He grew up in Queens but then went to Pennsylvania to get an economics degree from Wharton, so he's at least well educated."
7,28,1,The Beatles,"The Beatles are a classic, when did they first form?","the beatles formed in 1960 in liverpool , england .",The Beatles were an English rock band formed in Liverpool in 1960.,I believe they formed in Liverpool in 1960.
8,30,1,Comic book,Sounds interesting! What are some of the most popular comic books?,"i ' m not sure , but comic books have been around since the 18th century in japan .","Although some origins in 18th century Japan and 1830s Europe, comic books were first popularized in the United States during the 1930s.","Super hero comic books are very popular, though comic books originated in Japan in the 18th century."
9,30,4,Comic book,"Nice, I'll have to check them out one day! What else can you tell me about comic books?","there are so many elements to them like balloons , speech bubbles , text and characters","The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.","Balloons, text lines, characters, and panels are the key elements of comic books."
10,31,3,Top Chef,"That's the hope at least, right? I feel like most of the time the way it plays out is that kids just want to get in the way in the kitchen.","yes that is true , there have been numerous international versions of top chef that have been produced as well .","Numerous international adaptations of ""Top Chef"" have also been produced.","Yep, I know that numerous international adaptations of ""Top Chef"" have also been produced, Thats pretty crazy, just goes to show you how popular it is overseas."
11,36,2,Yoga,Oh yes I have heard this as well. I have been learning to meditate recently. :),you should try it . it can reduce stress and anxiety .,"Meditation may be used to reduce stress, anxiety, depression, and pain.",Meditation is a great way to reduce stress and anxiety. Meditative practices also originated in Asia.
12,41,2,The New York Times,"Nice, It has been very successful, who owns NYT?","i ' m not sure , but as of 2016 it was the largest print and digital circulation in the us .","As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",I'm not sure but is has the largest combined print and digital circulation.
13,49,3,Bible,This is true.  I personally do not believe in denominations.  Christ established His church.  All others are corruptions created by man.,today there is more than 2 billion christians in the world .,Today there are more than two billion Christians worldwide.,"Denominations or not, nowadays there is a total of more than two billion Christians worldwide."
14,51,2,Sephora,O wow i had no idea they were so big!,"yes , they first launched back in 1969 in paris .","Sephora first launched in Paris on August 14, 1969.","Yes, first launched in Paris on August 14, 1969 and have since spread around the world."
15,57,2,Horror film,"Purge is scary about one night a year when people can commit any crime including murder without consequences, very scary!",i can ' t believe scream was released in 1996 !,Scream is a 1996 American slasher film directed by Wes Craven and written by Kevin Williamson.,"That would be a pretty scary world to live in. Do you think it's better than the film ""Scream""? I know it's a bit dated, coming out in 1996, but it's still a great movie."
16,61,3,Madonna (entertainer),Do you know where Madonna grew up?,"i do not , but i do know that she was born in michigan and raised there .","Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.","She was Born and raised in the state of Michigan, She moved to New York City in 1978 when she first wanted to get a career in dancing."
17,64,1,Cheese,I love cheese but not a huge milk fan.,there are hundreds of different kinds of cheese produced in different countries .,Hundreds of types of cheese from various countries are produced.,"Me too. Despite this, I can't deny the fact that cheese is popular among others and hundred of types of cheese are produced from multiple countries."
18,70,0,Purple,,purple is my favorite color . it ' s between red and blue .,Purple is a color intermediate between blue and red.,Do you think people with red/green color-blindness can see purple? Since it is a mix of red and blue.
19,82,1,Law school,Because I did not want to go through all the schooling?  Do you know how long law school is?,"i ' m not sure , but most law school only offers a three year program .","Although most law schools only offer the traditional three-year program, several U.S. law schools offer an Accelerated JD program.","Most law schools only offer a 3 year program, but some schools offer an Accelerated JD program"
20,83,1,History of vegetarianism,I think so too,i think it ' s interesting that vegetarians were promoted by philosophers and religious groups .,"In both instances the diet was closely connected with the idea of nonviolence toward animals (called ""ahimsa"" in India), and was promoted by religious groups and philosophers.",In both cases I believe it was based on the idea of nonviolence towards animals and it was even promoted by religious groups.
21,91,1,Pancake,YOU MEAN AUNT JAMAMA'S  PANKAKES,"yes , i love american pancakes , they are like scotch pancakes",American pancakes are similar to Scotch pancakes or drop scones.,"Well don't know about that , American pancakes are similar to Scotch pancakes"
22,111,0,"Nashville, Tennessee",,have you ever been to nashville ? it ' s the capital of tennessee .,Nashville () is the capital and most populous city of the U.S. state of Tennessee and the seat of Davidson County.,"Nashville, Tennessee is a place ive never been too but its a very populous city"
23,114,1,Snorkeling,I've never been - was it hard to do or scary?,it took me a while to get used to it . it is very popular at tropical resorts .,"Snorkeling is a popular recreational activity, particularly at tropical resort locations.","No, it's not scary at all. But you do have to be in a tropical location to really enjoy it."
24,117,0,IPhone,,have you ever had an iphone ? the first generation was released in june of 2007 .,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.",What kind of phone do you use? I love my iPhone. I got the first gen version back in 2007 and have stuck with iPhone ever since.
25,121,1,Sleep,"I love to sleep, I wish I had more time to do so though!",during sleep the body is in a state of restoring the immune system and nervous system .,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.","Sleep is very important. While sleeping the body systems are in an anabolic state which helps to restore the immune, nervous, skeletal, and muscular systems."
26,136,2,Internet,Interesting. Who's responsible for creating the Internet in the first place? That's assuming that it was just one person lol. I could be wrong,i am not sure who created it but the internet has a wide range of info resources,"The Internet carries a vast range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and file sharing.","it takes with it  a large amount of information resources and services, such as the inter-linked hypertext documents, file sharing and other similar resource"
27,148,1,Tea,I tried a creme brulee one but it was too sweet. Do you know of any other flavors?,"i don ' t know any flavors , but i do know that tea is one of the most consumed drinks in the whole world .","After water, it is the most widely consumed drink in the world.",I like the Chai Spice Black Tea. I consume it more than water almost.
28,151,1,Telenovela,"Hmm interesting, I don't think I've seen any before.",telenovelas are usually produced in latin american,"A telenovela ( or ; , ), ) is a type of limited-run television serial drama or soap opera produced primarily in Latin America.",A telenovela is popular tv in latin america
29,152,3,Sex change,What type of issues require that? That would be very scary,well the term is also applied to changing gender roles,"The term may also be applied to the broader process of changing gender role (""living as a woman"" instead of living as a man, or vice versa), including but not necessarily limited to medical procedures.",Not much information on that but i did find that the term may also be applied ot the broader process of changing gender
30,163,3,Husky,"yes, that does make alot of sense",they are also considered to be the fastest breed of dogs .,They are an ever-changing cross-breed of the fastest dogs.,The husky I have is very fast. They are known to be the fastest breed of dogs.
31,177,2,Chevrolet Corvette,"i never knew thye were named after a warship, interesting","yeah , it was originally designed for a show show in 1953 .","Originally designed as a show car for the 1953 Motorama display at the New York Auto Show, it generated enough interest to induce GM to make a production version to sell to the public.","Yeah, they were originally designed as a show car for the 1953 Motorama display, but so many people liked them that GM started making them available to the public."
32,226,0,The Flintstones,Who is your favorite Flinstones character?,"i don ' t really have a favorite character , but i do know that it ' s an animated sitcom .",The Flintstones is an American animated sitcom produced by Hanna-Barbera for ABC.,I think it is DIno! The Flintstones is an American animated sitcom
33,226,1,The Flintstones,Dino is a great pet.  I thought it was silly that Barney and Betty had a hopparoo pet.,me too ! i love how the show is set in the stone age,"The series takes place in a romanticized Stone Age setting, depicts the lives of the titular characters and their next-door neighbors and best friends.",It is just a great show! The series takes place in a romanticized Stone Age setting
