,episode_idx,round,topic,message,response,knowledge,gold
0,0,3,Gardening,"Wow, it sounds amazing, the Micro-pigs are so cute! are they trainable to be well behaved?",yes they are very well behaved . they are also useful for our immediate environment .,"In the gradual process of families improving their immediate environment, useful tree and vine species were identified, protected and improved while undesirable species were eliminated.",yes they are. they are extremely smart. most people buy them for inside pets. you can train the to use a litter box just like a cat. When families started using vines and trees to build their houses out of there was several species of trees and vines that were eliminated by them.
1,1,3,Bob Ross,it ran for a long time,he became famous on youtube in the 20th century .,"Ross went from being a public-television personality in the 1980s and 1990s to being an Internet celebrity in the 21st century, popular with fans on YouTube and many other websites.",He is very popular on YouTube even into this century
2,2,2,Stamp collecting,"My grandfather was very into it. I seen a Nirvana stamp and had to have it, but that is the extent of my addiction",stamp collecting was proven to be a perfect hobby because each country wanted it to be,Stamp collecting proved to be an almost perfect hobby for collectors because there was a never ending stream of new stamps as each country sought to advertise its distinctiveness through its stamps.,its proved to be a almost perfect hobby for collectors because there is a never ending stream of new stamps
3,2,3,Stamp collecting,Do you do this too? I want to get started but nervous I won't get it down. I would love to have a hobby like my grandfather did,yes i do stamp collecting because it is accepted as a wider subject,"Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",yea and its funny that stamp collecting is generally accepted as one of the areas that make up the wider subjet of philately
4,5,1,Asthma,Yeah it's not great. What else can you tell me?,the symptoms of asthma are recurring and reversible .,"It is characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.","Do you have symptoms like reversible airflow obstruction, and bronchospasm."
5,9,4,Penguin Random House,What else do you know about the merger?,random house owns 25 % and 75 % of penguin group ' s shares .,"Random House and Penguin Group, the parent companies, own 75% and 25%, respectively.","Random House owns 75% of the company, and Penguin group owns 25%."
6,11,3,The Story So Far (band),That's something I didn't know. Neat. Thanks for teaching me more about pop punk.,no problem . pop punk has been around since the 2000 ' s .,"The 2000s saw the creation or emergence of a few styles, such as indie-related genres such as Emo, Alternative R&B, and a multitude of new electronic subgenres, most notably Dubstep, Bass music and Moombahton, as well as genres that fused influences from past decades, mostly the 80s, into creating new styles such as Nu-disco and Hypnagogic pop.","Also,2000s saw the creation or emergence of a few styles, such as indie-related genres"
7,13,3,Tennis,do you have a favorite tennis player?,i like federer the most . he originated in england in the 19th century,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.","No  not me but The modern game of tennis originated in Birmingham, England"
8,13,4,Tennis,oh thats something i didnt know,yeah in most of 19th century the term tennis was called lawn tennis,"During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis: for example, in Disraeli's novel ""Sybil"" (1845), Lord Eugene De Vere announces that he will ""go down to Hampton Court and play tennis.""","I read that During most of the 19th century, in fact, the term ""tennis"" referred to real tennis, not lawn tennis:"
9,15,4,Snowboarding,"What did he call it? Oh, is it an Olympic event? If I do this, I might want to get competative.","it is an olympic sport ! poppen named it after his wife ' s friend nancy , poppen .","Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.","He called the first snowboard a ""snurfer"" combining snow and surfer! Cute name, but I'm glad it didn't stick. And yes, snowboarding is very popular in the Winter Olympics!"
