,episode_idx,round,topic,message,response,knowledge,gold
0,0,0,Gardening,"I like Gardening, even when I've only been doing it for a short time.","i love gardening , it is considered a relaxing activity .",Gardening is considered by many people to be a relaxing activity.,"I live on a farm, we garden all year long, it is very relaxing."
1,206,0,Indian cuisine,i recently discovered a new love for indian food,i love indian cuisine ! it ' s a wide variety of regional and traditional cuisines .,Indian cuisine comprises a wide variety of regional and traditional cuisines native to the Indian subcontinent.,I don't think I've ever had Indian food. Can you recommend a good dish?
2,1,0,Bob Ross,I would like to know more about bob ross,bob ross was an american painter and art instructor .,"Robert Norman Ross (October 29, 1942 – July 4, 1995) was an American painter, art instructor, and television host.",Ross was an American painter and television host
3,1,1,Bob Ross,thats cool what else?,he was the creator and host of the joy of painting .,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.","He created the show ""The Joy of Painting"""
4,2,1,Stamp collecting,I have always wondered how this works... grabbing popcorn this will be good,it is one of the world ' s most popular hobbies .,It has been one of the world's most popular hobbies since the late nineteenth century with the rapid growth of the postal service.,its actually one of the world's most popular hobbies since the late 19th century
5,2,3,Stamp collecting,Do you do this too? I want to get started but nervous I won't get it down. I would love to have a hobby like my grandfather did,"i ' ve never heard of stamps , but i do know that the word "" philately "" refers to the study of stamps .","Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately, which is the study of stamps.",yea and its funny that stamp collecting is generally accepted as one of the areas that make up the wider subjet of philately
6,3,0,Quake (video game),My husband likes video games - I've heard there is one called Quake - do you know much about it?,it ' s a first person shooter video game developed in 1996 .,"Quake is a first-person shooter video game, developed by id Software and published by GT Interactive in 1996.","Yes, O' my god. Love it! It's a first-person shooter developed by id software."
7,6,0,Pizza,,pizza is a traditional italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese,Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.,"I love pizza! This Italian dish with a crust, tomato sauce and cheese is delicious!"
8,6,1,Pizza,"Oh yes, pizza is wonderful. I could eat it all the time, if it was made the way I like it.","it can be topped with vegetables , meats , and condiments .","It can also be topped with additional vegetables, meats, and condiments, and can be made without cheese.","Yes, I like to add additional toppings like meats, vegetables and cheese!"
9,6,2,Pizza,"I don't really like the veggies, I have tried peppers on it before, but it doesn't taste good.",pizza is one of the most popular foods in the world .,Pizza is one of the most popular foods in the world and common fast food item in Europe and North America.,"So, you like mainly meats? I understand why pizza is the most popular food throughout Europe and North America though. It's so yummy"
10,217,1,Ice hockey,In high school many moons ago... our ice hockey team was the best in the state.,the nhl is the strongest ice hockey league in the world .,North America's National Hockey League (NHL) is the highest level for men's ice hockey and the strongest professional ice hockey league in the world.,That's great!  Did you or any of your teammates go on to paly for the NHL or any other league?
11,10,0,"Nike, Inc.",,"nike is my favorite brand of footwear , apparel , and accessories .","Nike, Inc. (; ) is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services.",Soccer is my favorite sport. The American corporation Nike produces the best soccer cleats that I have ever tried!
12,11,0,The Story So Far (band),Have you ever heard of The Story So Far? They're my favorite band.,they are a pop punk band from walnut creek california .,"The Story So Far is an American pop punk band from Walnut Creek, California, formed in 2007.",Story So Far is an American pop punk band.Do you love pop music?
13,13,3,Tennis,do you have a favorite tennis player?,tennis originated in birmingham england in the late 19th century,"The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.","No  not me but The modern game of tennis originated in Birmingham, England"
14,233,1,Xbox,We have an Xbox 360 and an Xbox one but we hardly play them.,i played the xbox 360 . it was developed by microsoft .,The Xbox 360 is a home video game console developed by Microsoft.,"Yea I remember when the The Xbox 360 came out, It was a fantastic developed by Microsoft. I play mine all the time."
15,15,1,Snowboarding,Is it like surfing or skateboarding?,"snowboarding was inspired by skateboarding , sledding and surfing .","The development of snowboarding was inspired by skateboarding, sledding, surfing and skiing.","As a matter of fact, it is! Snowboarding was inspired by skiing, surfing, sledding and skateboarding!"
16,15,3,Snowboarding,Who was the crazy person that even invented this sport? They must have been crazy!,it was invented back in 1965 by sherman poppen .,"Modern snowboarding began in 1965 when Sherman Poppen, an engineer in Muskegon, Michigan, invented a toy for his daughters by fastening two skis together and attaching a rope to one end so he would have some control as they stood on the board and glided downhill.",Sherman Poppen! He was an engineer in Michigan. He invented the toy for his daughters by fastening two skis together. Guess what he called it?
17,15,4,Snowboarding,"What did he call it? Oh, is it an Olympic event? If I do this, I might want to get competative.","it ' s also known as "" snurfer ""","Dubbed the ""snurfer"" (combining snow and surfer) by his wife Nancy, the toy proved so popular among his daughters' friends that Poppen licensed the idea to a manufacturer, Brunswick Corporation, that sold about a million snurfers over the next decade.","He called the first snowboard a ""snurfer"" combining snow and surfer! Cute name, but I'm glad it didn't stick. And yes, snowboarding is very popular in the Winter Olympics!"
18,16,0,Red hair,"Hello my friend! i had a tough time growing up, im a redhead! bu tnow its getting better!",red hair occurs naturally in 1 - 2 % of the population .,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,I love red hair!  In fact I just dyed mine a shade of red!  I heard that red hair occurs naturally in only 1 to 2 % of the human population
19,16,1,Red hair,I know! i feel special! and also very rare taking in consideration that occurs more frequently (2–6%) in people of northern or western European ancestry and im from Canada!,red hair varies in hues from deep burgundy to strawberry blonde .,Red hair varies in hues from a deep burgundy or bright copper (reddish-brown or auburn) through to burnt orange or red-orange and strawberry blond.,"what shade of red is yours?  is it more burgundy, copper, strawberry blonde or reddish brown?"
20,16,2,Red hair,"DO you know who emma stone is? exactly like her! how about you, any friend that is red head?","i ' m not sure , but i do know that it ' s associated with fair skin color and lighter eye colors .","It is associated with fair skin color, lighter eye colors (gray, blue, green, and hazel), freckles, and sensitivity to ultraviolet light.","I do have a friend with red hair.  Bright red in fact.  I think its so pretty!  she has the freckles and fair skin, light eyes"
21,17,0,Swimming,,swimming is one of the most popular recreational activities .,"Swimming is consistently among top public recreational activities, and in some countries, swimming lessons are a compulsory part of the educational curriculum.",Swimming is my favorite form of exercise. It seems to be among the top recreational activities around the world.
22,17,1,Swimming,"Swimming is a splash of a time. What all do you do, swim with friends or a team?",i like to swim because it is a formalized sport .,"As a formalized sport, swimming features in a range of local, national, and international competitions, including every modern summer Olympics.","I usually just swim by myself doing laps, but I enjoy watching competitions, especially during the summer Olympics."
23,17,2,Swimming,"It sounds like you live a great and balanced life. Out of curiousity, why do you do it... fun, health or family thing?",i like to swim because it ' s low impact compared to running .,"As a result, swimming is “low-impact” compared to land activities such as running.",I used to be on swim team when I was younger and I loved it. Now that I'm older it's a good activity for me since it's low impact compared to running which hurts my knees.
24,18,1,Italian cuisine,I like Italian food too! I cook spaghetti quite often,italian cuisine is also known for its regional diversity .,"Italian cuisine is known for its regional diversity, especially between the north and the south of the Italian peninsula.","Italian food  tastes are regionally different , depending which part of the Italian boot one visits"
25,19,0,Donald Trump,,donald trump is the 45th president of the united states .,"Donald John Trump (born June 14, 1946) is the 45th and current President of the United States, in office since January 20, 2017.","People seem to either love or hate Donald Trump. He is the 45th president and had been in office since Jan. 20, 2017. Do you like him?"
26,19,2,Donald Trump,I see. That makes sense. Can you tell me anything specific to his election and/or presidency?,"i ' m not sure , but he won the 2016 presidential race in 2016 .",Trump entered the 2016 presidential race as a Republican and defeated sixteen opponents in the primaries.,I don't know much in depth about his presidency just know some about him. He entered the race as Republican and actually defeated 16 other opponents in the primaries.
27,20,0,Reading (process),"Hi , Reading is a good habbit","me too ! it is a means of language acquisition , communication , and of sharing information and ideas .","Reading is a means of language acquisition, communication, and of sharing information and ideas.",I agree. Its a means of comprehensive and communication.
28,20,1,Reading (process),"Reading is a means of language acquisition, communication, and of sharing information and ideas.",it is a complex interaction between the text and the reader,"Like all languages, it is a complex interaction between the text and the reader which is shaped by the reader’s prior knowledge, experiences, attitude, and language community which is culturally and socially situated.","Reading is complex in nature, but acquires an acquisition of text and the readers' prior knowledge to shape this interaction."
29,20,2,Reading (process),"Four types are reading skimming, scanning, intensive, extensive","reading requires continuous practice , development , and refinement .","The reading process requires continuous practice, development, and refinement.","Those processes require repeated practice, knowledge and retainment."
30,21,0,Obsessive–compulsive disorder,,compulsive disorder is a mental disorder where people feel the need to check things repeatedly,"Obsessive–compulsive disorder (OCD) is a mental disorder where people feel the need to check things repeatedly, perform certain routines repeatedly (called ""rituals""), or have certain thoughts repeatedly.","Hello, Obsessive-compulsive disorder is a mental condition where people perform repetitive movements such as turning lights on and off."
31,22,0,Bagel,I like to make bagels.,bagels are usually topped with poppy seeds or sesame seeds .,"Bagels are often topped with seeds baked on the outer crust, with the traditional ones being poppy or sesame seeds.",I enjoy eating them. They're usually topped with seeds baked on the outer crust. What kind of bagels do you like?
32,23,0,Starbucks,i love eating on starbucks have you been there?,i love starbucks ! it was founded in 1971 .,"Starbucks was founded in Seattle, Washington in 1971.","I have been, I love Starbucks! I even went to the original location in Seattle, which was founded in 1971."
33,23,1,Starbucks,"that is incredible, do you know who founded it?","i ' m not sure , but they have 23 , 768 locations worldwide .","As of November 2016, it operates 23,768 locations worldwide.","I actually don't but Starbucks now has 23,768 locations worldwide. WOW!"
34,236,2,Friends,Jennifer Aniston was my favorite.She is still nowadays but I feel in love with her watching Friends,"me too ! it was originally called "" insomnia cafe "" .","Kauffman and Crane began developing ""Friends"" under the title ""Insomnia Cafe"" between November and December 1993.","She's a great actress for sure. It's hard to imagine the show was originally titled Insomnia Cafe, it sounds so out of place."
